userinput;choosen Intent;confidence
🤓 Booking Question;small_talk;0.91466963
Very happy with this;small_talk;0.63756204
🤚🏻Carry-On Baggage;flight_baggage;0.793789
🧳 Baggage Question;flight_baggage_lost;0.6370402
NULL;intent_empty;0
Awesome work!;small_talk;0.85181105
Hi Claralines! I have a couple of questions for you;flight_question;0.7749385
NULL;intent_empty;0
Okay, perfect! Thank you for the quick response;Default Fallback Intent;1
Hi 👋🏼 Do you fly to Jordan during the holidays? Thanks!;flight_question;0.57407355
Thank you for your support;flight_end_conversation;0.6264175
Hi! Do you fly to Barcelona?;flight_question;0.50997466
Hello, and do you fly to Brussels?;flight_question;0.575005
Do you fly to switzerland?;flight_question;0.58236843
Do you fly from Amsterdam to Istanbul?;flight_question;0.58236843
Thanks;small_talk;1
Hey 👋 my product smells bad;small_talk;0.6090648
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
Any christmas campaigns for 2021?;Default Fallback Intent;1
Are there flights from Amsterdam now that there is a stricter lockdown situation?;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.915421
Tengo una problema;Default Fallback Intent;1
Hola Claralines!!;small_talk;0.8547183
6547;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
Hello, is there a flight tomorrow t Brussels?;Default Fallback Intent;1
You are there;small_talk;1
Help;flight_question;0.7418101
Hey;small_talk;1
مرحبا كيف الحال;Default Fallback Intent;1
Are you flying to Barcelona?;Default Fallback Intent;1
45678;Default Fallback Intent;1
⏰Delayed;flight_delays;0.68264437
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
NULL;intent_empty;0
Hello;small_talk;1
Hello!;small_talk;1
Hey;small_talk;1
45654;Default Fallback Intent;1
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
NULL;intent_empty;0
Hi ClaraLines team! I just found out I am sitting next to someone on my flight to Boston. I find that unacceptable in these covid-19 times! I'd like to request a refund! 😡;flight_ticket_refunds;0.50983214
Do you fly to cuba?;flight_question;0.58236843
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
Hey, can you help me?;flight_question;1
🤙🏻 Start Over;small_talk;0.92350125
🤙🏻 Start Over;small_talk;0.92350125
Japan please;Default Fallback Intent;1
Still trying to find my lost bag! Convinced your employees stole it at this point.;Default Fallback Intent;1
👩🏼‍💼 Human Agent;Default Fallback Intent;1
Hey! What kind of drinks do you offer onboard?;flight_food_information;0.74262786
I want to cancel my flight!!!;flight_ticket_cancel;0.7030428
🇬🇧 English;Default Fallback Intent;1
I need help rebooking my flight;flight_question;0.6898675
Hello;small_talk;1
Get Started;flight_booking_information_delay;0.49773383
Are middle seats booked?;flight_seats;0.70382935
Hello! I was just wondering about your refund policy regarding Covid ?;flight_ticket_refunds;0.63137317
Get Started;flight_booking_information_delay;0.49773383
Hello! I have a question about my upcoming flight with Claralines;Default Fallback Intent;1
Are you keeping the middle seats open??;flight_seats;0.75570333
@clara_lines I just tested positive for covid_19. Can I get a refund if I can proof this with a medical statement from my doctor?;flight_ticket_refunds;0.69819725
Are you flying to Brussels in December 16th?;Default Fallback Intent;1
hi! I'm hoping you can help me obtain a refund?;flight_ticket_refunds;0.6079368
OMG! Is this what I think it is?? A giveaway?? 🤩🥳;Default Fallback Intent;1
Hey!!!;small_talk;1
When is this campaign? 🥳;Default Fallback Intent;1
New Booking;flight_booking_information_delay;0.60572785
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
Hey can someone help me very quickly;flight_question;0.7573532
اقول بس موصلينها بارده والبيبسي حار والفرايز بارد سلاماات !!!!!! جوعانين ترا وش هالتوصيل الفاشل;Default Fallback Intent;1
Hello?;small_talk;1
just wanted to say thank you for your support last time;small_talk;0.74755055
Hey your colleague chris has helped me last time can he help me again?;flight_question;0.59779584
No he recibido todavía el reembolso de mi compra;Default Fallback Intent;1
Is this offer still available?;Default Fallback Intent;1
Hello;small_talk;1
123;Default Fallback Intent;1
Hi;small_talk;1
Amazing, is this the VIP lounge area? 🤩;Default Fallback Intent;1
😮;Default Fallback Intent;1
I want to travel again!!;small_talk;0.6572189
💯;Default Fallback Intent;1
Hi Claralines - i'm trying to rebook my flight through the website, but i'm getting an error message in the process. What should I do?;flight_ticket_online_problem;0.52696633
👩🏼‍💼 Talk to a Human;Default Fallback Intent;1
👩🏼‍💼 Talk to a Human;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
🤙🏻 Start Over;small_talk;0.92350125
Hi Claralines - i'm trying to rebook my flight through the website, but i'm getting an error message in the process. What should I do?;flight_ticket_online_problem;0.52696633
Get Started;flight_booking_information_delay;0.49773383
Or should I just check the website?;flight_ticket_online_problem;0.62058043
thanks - will I be notified if there are any further delays?;flight_delays;0.6524466
CL29480 to the Bahamas;Default Fallback Intent;1
⏰Delayed;flight_delays;0.68264437
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
NULL;intent_empty;0
Cool;small_talk;1
Can I finally use my voucher now?;Default Fallback Intent;1
Helloooo;Default Fallback Intent;1
NULL;intent_empty;0
🙏🏻;Default Fallback Intent;1
Hi! I still have not received the refund of my booking GHY5FD;flight_ticket_refunds;0.5619165
Has Claralines started flying abroad now? I need a holiday!!! 🏝;flight_question;0.69511396
4456;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
مرحبا;Default Fallback Intent;1
Hello;small_talk;1
I'm trying to check in from the app but it isn't working.. 😫;flight_checkin;0.6671285
Are flights to Riyad enabled now?;Default Fallback Intent;1
Hi! are you still running flights to San Diego?;Default Fallback Intent;1
NULL;intent_empty;0
Do you organize hotel stay as well or only flights?;Default Fallback Intent;1
NULL;intent_empty;0
🧳 Baggage Question;flight_baggage_lost;0.6370402
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
I can't believe it;flight_ticket_online_problem;0.5023943
NULL;intent_empty;0
NULL;intent_empty;0
I would like to make a complaint! My seat was soooo dirty I was disgusted;flight_seats;0.54877263
Do you fly to lebanon?;flight_question;0.58236843
ERER484;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
NULL;intent_empty;0
Do you offer discounts for students?;flight_ticket_discount;0.76772654
I am having issues with your online booking system 🙈;flight_ticket_booking;0.5506502
NULL;intent_empty;0
Thanks;small_talk;1
Why is no one responding?;Default Fallback Intent;1
Hey;small_talk;1
NULL;intent_empty;0
Can I report this?;Default Fallback Intent;1
I don't think it's appropriate;Default Fallback Intent;1
Yes. I was wondering about the recent advertising you made for Claralines;flight_food_experience_review;0.46878734
Oh hey!;small_talk;1
NULL;intent_empty;0
Automated quick help was amazing;flight_question;0.5812217
🤚🏻Carry-On Baggage;flight_baggage;0.793789
🧳 Baggage Question;flight_baggage_lost;0.6370402
NULL;intent_empty;0
But can we travel? With COVID?;Default Fallback Intent;1
Hey there! Cool! Yes. Seems you have promotions going on but i was curious if there will be black friday sales?;flight_food_experience_review;0.4046383
NULL;intent_empty;0
Could someone please help me out with my request to cancel my flight?;flight_ticket_cancel;0.7008419
Hello!;small_talk;1
👩🏼‍💼Transfer;Default Fallback Intent;1
Contact Agent 🤓;Default Fallback Intent;1
I still didn't receive my refund from my summer holiday that got cancelled? What's going on?;flight_ticket_refunds;0.5861206
Hi Claralines!;small_talk;0.9670314
👩🏼‍💼Transfer;Default Fallback Intent;1
👩🏼‍💼 Human Agent;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
I saw on your page discounts for ski trips during Christmas break?;flight_ticket_discount;0.7780202
Hi;small_talk;1
NULL;intent_empty;0
Does everyone have to wear masks on the flight?;flight_food_information;0.40804234
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
5555;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
🤓 Booking Question;small_talk;0.915421
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Please help;flight_question;0.7168394
NULL;intent_empty;0
445615;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Hello;small_talk;1
Help???;flight_question;0.7418101
Hello;small_talk;1
Hello;small_talk;1
NULL;intent_empty;0
hallo;Default Fallback Intent;1
You guys have amaziiiiing support 🥰👯‍♀️;Default Fallback Intent;1
Hey;small_talk;1
NULL;intent_empty;0
Önümüzdeki hafta uçuşum iptal edilecek mi?;Default Fallback Intent;1
NULL;intent_empty;0
👩🏼‍💼Transfer;Default Fallback Intent;1
👩🏼‍💼 Human Agent;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
Get Started;flight_booking_information_delay;0.49773383
Get Started;flight_booking_information_delay;0.49773383
516848;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
"Δεν έχω ακούσει ακόμα για την πτήση μου, ακυρώνεται;";flight_question;0.4817748
Claralines when will you start flying to Cuba again?;flight_question;0.5320843
This is so cool, keep creating awesome content like this! Makes me proud to be a customer. ;small_talk;0.64660245
@clara_lines Hello;small_talk;0.80844307
Wow so cool!;small_talk;1
Hello, what's the status of my refund?;flight_ticket_refunds;0.7505245
any thanksgiving discounts?;flight_ticket_discount;0.77916324
Hey please help me;flight_question;0.7110594
👩🏼‍💼Transfer;Default Fallback Intent;1
👩🏼‍💼 Human Agent;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Southeastern;Default Fallback Intent;1
Hey;small_talk;1
Hello! Can I buy miniature planes?;Default Fallback Intent;1
سلام عليكم;Default Fallback Intent;1
Hello I really need help and you have been avoiding me in every channel!;flight_question;0.83203965
سلام عليكم منتجع شاطئ الدانة;Default Fallback Intent;1
No problem;small_talk;1
awesome job!;small_talk;0.8814661
Hey thank you for the help;flight_end_conversation;1
hey;small_talk;1
Hallloo;Default Fallback Intent;1
Hey;small_talk;1
NULL;intent_empty;0
Thank you!;flight_end_conversation;0.5767755
Hi there, can you help me?;flight_question;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
On another note, do you fly to India or are the borders closed?;flight_question;0.55804396
Cancel Booking;flight_ticket_cancel;0.47645587
Hello! Awesome pictures. Which is that? And any idea when I can spot it?;Default Fallback Intent;1
Hello are you there?;small_talk;1
Ready to get out of the US!  Where shall I go!;flight_booking_information_delay;0.40420452
Thank you!;flight_end_conversation;0.5767755
🧳Checked Baggage;flight_baggage_lost;0.65266746
🧳 Baggage Question;flight_baggage_lost;0.6370402
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
NULL;intent_empty;0
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
NULL;intent_empty;0
"Hi Selin, 
This is Isa from Dr. Mohammad Alfagih Hospital";small_talk;0.6244627
Hello, do you fly to KSA?;flight_question;0.575005
NULL;intent_empty;0
Oh! Great! Tomorrow;Default Fallback Intent;1
Can you help;flight_question;1
Yes! I'm trying to leave Belgium and get to Sweden for the winter;Default Fallback Intent;1
Hi;small_talk;1
NULL;intent_empty;0
I need a refund asap!;flight_ticket_refunds;0.81851417
Hey!;small_talk;1
NULL;intent_empty;0
I need urgent help! Someone speaks Dutch? ;flight_question;0.66773593
Hey;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
I want to cancel my flight!!;flight_ticket_cancel;0.7030428
Hey Claralines!;small_talk;0.903576
NULL;intent_empty;0
flight;flight_ticket_booking_changes;0.4876441
I want to cancel my fight;flight_ticket_cancel;0.63273853
HEy;small_talk;1
NULL;intent_empty;0
Ik wil graag mijn vlucht cancellen!;Default Fallback Intent;1
Halllo;Default Fallback Intent;1
I would like to rebook my flight!;flight_ticket_booking_changes;0.4498322
Hey there!;small_talk;1
NULL;intent_empty;0
Need help quickly! I want to upgrade my seat with my Clarapoints.;flight_reservation_upgrade;0.722528
Hello there!;small_talk;1
Send me a GIF :-D ;Default Fallback Intent;1
Hello!!;small_talk;1
NULL;intent_empty;0
Hey there!;small_talk;1
NULL;intent_empty;0
I want to cancel my flight for next year already;flight_ticket_cancel;0.6932548
I need a refund;flight_ticket_refunds;0.81851417
i need help with my ticket!;flight_question;0.63904405
can you help me?;flight_question;1
hi there;small_talk;1
"Location shared:
https://maps.google.com/maps?q=24.7069113,46.7005701";Default Fallback Intent;1
H2;Default Fallback Intent;1
Good;small_talk;1
Do you have new corona measures?;flight_corona;0.7683831
Hi;small_talk;1
هاي;Default Fallback Intent;1
NULL;intent_empty;0
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Hi. I need to cancel my flight;flight_ticket_cancel;0.69848233
Thanks! It's 1234FGH;Default Fallback Intent;1
Hi- I need to cancel my flight;flight_ticket_cancel;0.69848233
I should have gotten more advanced notice on its cancellation;flight_canceled;0.7513786
Hey, kind of irritated on how you handled my flight.;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.915421
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
NULL;intent_empty;0
1848948;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
ClaraSun;Default Fallback Intent;1
NULL;intent_empty;0
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Bonjour;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
Soy Laura!;Default Fallback Intent;1
Hola!;small_talk;1
NULL;intent_empty;0
Hey;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
Hi there;small_talk;1
Great service;flight_experience_review;0.83237123
Hello, I've got a question on a flight;Default Fallback Intent;1
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
🤙🏻 Start Over;small_talk;0.92350125
Hey can you help me?;flight_question;1
I need urgent help with my delayed flight;flight_delays;0.6359384
Hey;small_talk;1
I like the new plane! ✈️;small_talk;0.68759805
NULL;intent_empty;0
5848;Default Fallback Intent;1
Cancel Booking;flight_ticket_cancel;0.47645587
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
I need help;flight_question;1
Hey;small_talk;1
🧳Checked Baggage;flight_baggage_lost;0.65266746
NULL;intent_empty;0
NULL;intent_empty;0
مرحبا ، احتاج المساعده لطلب الخدمه !;Default Fallback Intent;1
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
My flight number is ABC123 and I'm flying to Miami!;flight_number;0.67836523
😡Cancelled;flight_canceled;0.55182946
ClaraLines;Default Fallback Intent;1
💔Delay/Cancellation;flight_canceled;0.6584799
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
🇬🇧 English;Default Fallback Intent;1
Unbelievable. That's not right. I never got a voicemail. Well whatever, I'll go get my luggage now.;flight_baggage_lost;0.6336813
Ok no need to interrogate me.....and how would I know where it's lost? Flight was 1224 from Chicago to Houston;flight_question;0.44016227
Hello, my luggage is still lost! Can someone help!;flight_baggage_lost;0.7299577
🤙🏻 Start Over;small_talk;0.92350125
👍;Default Fallback Intent;1
Great;flight_food_experience_review;0.62179714
I want to ask something about your software.;Default Fallback Intent;1
Hi can you help me;flight_question;1
Hi;small_talk;1
1234;Default Fallback Intent;1
Change Booking;flight_ticket_booking_changes;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Hello, I've been waiting for more information!;small_talk;0.84920615
Hi can you help me?;flight_question;1
Hi, can you help me I don't know what happened to my luggage?;flight_baggage_lost;0.6552539
🤙🏻 Start Over;small_talk;0.92350125
NULL;intent_empty;0
I have a question, can you help please?;Default Fallback Intent;1
Why isn't hand luggage allowed? I don't like the attitude of your colleagues at the check-in desk. They didn't help one bit! ☹️;flight_checkin;0.44838628
Hello, can someone answer?;small_talk;0.88410056
thanks;small_talk;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.915421
لقد فقدت أمتعتي ، كيف أستعيدها؟;Default Fallback Intent;1
the flight is frh 3475;flight_canceled;0.40784988
Hey, where can I see my star alliance membership on the website?;flight_ticket_online_problem;0.5718735
Hi Claralines, could you please confirm whether my flight is still going ahead as planned?;small_talk;0.6108337
Do you take hand luggage on the plane?;flight_baggage;0.5954218
Can you check if my flight is on time, please?;flight_checkin;0.48310024
NULL;intent_empty;0
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Nothing of the above is what I want! Please let me talk to a human!!!;Default Fallback Intent;1
Talk to Human;Default Fallback Intent;1
ClaraLines;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
NULL;intent_empty;0
Hello! I have a question;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
🤓 Booking Question;small_talk;0.91466963
NULL;intent_empty;0
Hey;small_talk;1
NULL;intent_empty;0
NULL;intent_empty;0
Hey Claralines;small_talk;0.74445504
NULL;intent_empty;0
Ok;small_talk;1
Hey!;small_talk;1
NULL;intent_empty;0
Hi;small_talk;1
Help;flight_question;0.7418101
Is there a change with my flight schedule again???;flight_ticket_booking_changes;0.7192961
Hey, has cuba opened up their borders?;Default Fallback Intent;1
🤓 Booking Question;small_talk;0.91466963
🇬🇧 English;Default Fallback Intent;1
NULL;intent_empty;0
arerez;Default Fallback Intent;1
Salve, ho bisogno di aiuto per il mio volo per Portorico. È cancellato e ho bisogno di un rimborso. Sono così delusa che non ricevo risposta.;Default Fallback Intent;1
thanks;small_talk;1
Hello, this is selin. Can you help me with a question please?;Default Fallback Intent;1
Hi, need help finding luggage;flight_question;0.60586214
Hi Claralines is my flight delayed?;flight_delays;0.8086585
Hi, I purchased a plane ticket on 10/2 that also had a rental car booking included. I can't find a confirmation of that rental car booking anywhere! Can you verify?;Default Fallback Intent;1
Thank u 😊;flight_end_conversation;0.45761856
ممكن سؤال;Default Fallback Intent;1
مساء الخير;Default Fallback Intent;1
Hi, is there a flight to Berlin and do we need to do a corona test before?;flight_corona;0.5351048
🌍 Choose Language;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
🇬🇧 English;Default Fallback Intent;1
🤙🏻 Start Over;small_talk;0.92350125
Is the code working? I want to book my Ibizaaa flight?;Default Fallback Intent;1
